slug; synonym words
mobile_phone_repair; phone screen cracked repair fix cell smartphone broken shattered
mobile_phone_store; phone carrier cell smartphone store plan sim
mobile_phone_accessories; phone case charger cable accessories
electronics_repair_shop; electronics repair fix broken device laptop tv appliance
it_service_and_computer_repair; computer repair fix laptop broken tech support
data_recovery; data recovery lost files hard drive crashed
shoe_repair; shoe repair fix cobbler resole broken heel
watch_repair_service; watch repair fix broken band battery
gym; gym workout exercise fitness lift weights train work out
sports_and_fitness_instruction; fitness training class workout coach instructor
boxing_gym; boxing gym workout fight train sparring
rock_climbing_gym; climbing gym bouldering workout
gymnastics_center; gymnastics workout training kids
yoga_studio; yoga studio class workout stretch meditation
pilates_studio; pilates studio class workout core
grocery_store; grocery groceries food shopping supermarket
specialty_grocery_store; specialty grocery gourmet food shop
asian_grocery_store; asian grocery food shop market
ethical_grocery; organic grocery natural food shop
pharmacy; pharmacy medicine prescription drugs meds
drugstore; drugstore medicine pharmacy convenience meds
doctor; doctor physician medical checkup sick appointment
urgent_care_clinic; urgent care sick hurt walk in clinic emergency injury
dentist; dentist teeth dental checkup cavity toothache
cosmetic_dentist; cosmetic dentist teeth whitening veneers
coffee_shop; coffee cafe latte espresso study wifi work laptop
cafe; cafe coffee tea study work wifi
coffee_roastery; coffee roaster beans
tea_room; tea study relax quiet
coworking_space; coworking office desk remote work laptop
library; library books study quiet read
bar; bar drink cocktail nightlife
pub; pub drink beer nightlife
irish_pub; pub irish beer drink
cocktail_bar; cocktail bar drink nightlife
dive_bar; dive bar drink cheap nightlife
beer_bar; beer bar drink craft
brewery; brewery beer craft drink tour
dance_club; nightclub club dance party nightlife
lounge; lounge drink relax nightlife
laundry_services; laundry wash clothes
laundromat; laundromat laundry wash clothes coin machine
dry_cleaning; dry cleaning clothes suit
barber; barber haircut men shave trim
hair_salon; hair salon haircut style cut
beauty_salon; beauty salon spa treatment facial
nail_salon; nails manicure pedicure salon
playground; playground kids children play swings slide
park; park outdoor picnic walk relax green space bench
rv_park; rv park camp trailer
atms; atm cash withdraw money machine
bank_credit_union; bank money account deposit
banks; bank money account deposit branch
gas_station; gas station fuel petrol fill up
ev_charging_station; ev charging station electric vehicle plug charge
parking; parking park car lot garage spot
bike_parking; bike parking rack lock spot
hotel; hotel stay room night lodging
hostel; hostel stay cheap room dorm backpacker lodging
bed_and_breakfast; bed breakfast stay lodging inn
veterinarian; vet veterinarian pet sick animal dog cat
pet_store; pet store supplies food dog cat
bicycle_shop; bike bicycle shop store buy gear
bike_repair_maintenance; bike bicycle repair fix flat tune up maintenance
hardware_store; hardware store tools diy nails screws
home_improvement_store; home improvement diy renovation supplies
bookstore; book bookstore read buy
used_bookstore; used book secondhand bookstore
academic_bookstore; textbook academic bookstore school
bakery; bakery bread pastry cake sweet
breakfast_and_brunch_restaurant; brunch breakfast eat morning food
pancake_house; pancake breakfast brunch food
food_delivery_service; delivery food order takeout
pizza_delivery_service; pizza delivery order takeout
courier_and_delivery_services; courier delivery ship package send
museum; museum art history exhibit culture
art_museum; art museum exhibit gallery culture
art_gallery; art gallery exhibit culture
cinema; cinema movie film theater watch
drive_in_theater; drive in movie theater film
swimming_pool; swim swimming pool lap
pool_hall; pool billiards game bar
tennis_court; tennis court play sport
basketball_court; basketball court play hoop sport
soccer_field; soccer football field play sport
badminton_court; badminton court play sport
child_care_and_day_care; childcare daycare kids babysit watch children
day_care_preschool; daycare preschool kids children young
tutoring_center; tutoring tutor homework study help kids school
dance_school; dance class lessons school studio
post_office; post office mail ship package stamp
shipping_center; shipping ship package mail send
shipping_collection_services; shipping ship package mail send collect
thrift_store; thrift secondhand used cheap clothes shop
used_vintage_and_consignment; vintage secondhand used consignment clothes shop
farmers_market; farmers market fresh produce local food
laser_hair_removal; hair removal laser treatment
convenience_store; convenience store quick snack shop
supermarket; supermarket grocery food shop
